quote_id,quote_text
Quote 14,"Driving Changes on a peer-to-peer level [...] If I would be the leader, I would just say. ""Stop it. Don't waste time for this report"".  [...] But I am not the leader.I know, that if you ask ""Why do you need this report?"", then the others will find a lot of reasons why they think the report is needed. [...] The more I ask into the direction like ""stop it"", the more the others will think they need to defend what they did in the past."
Quote 15,"Every time I walk into their sprint planning session, I do not like what I see. [...] It's absolute silence and we can practically hear ourselves breathing. [...] The SM is the only person talking and tries to create tasks, one-by-one, for each story. [...] I try to encourage the PO and developers to ask questions, but I have developers who are very ""passive"" (not pro-active). [...] No developer will voluntarily request to be assigned a task (like I use to do and have seen done by so many of my peers). [...] They sit and almost wait to be assigned tasks (which was how it was before I introduced Agile)."
Quote 16,"How to manage a failed sub team inside a scrum team. [...] We are in a loop of pointing out the issues -> Team records it -> on next sprint, same issues -> Retrospective [...] Front-End team produces lot of bugs (defects) inside a sprint cycle. [...] Even they spend overtime, all nights, double shifts, they only can resolve 90% of the bugs within a given sprint period. [...] The remaining 10% is mostly the complex bugs. [...] Even we provide few extra days or in some cases an extra week, they fail to deliver."
Quote 17,"This results in the Daily Scrum meeting going beyond 15-min. almost daily. [...] My Query: Is it the responsibility of the Scrum master to intervene and interrupt a team member when he/she starts talking about points beyond those 3 that I mentioned? [...] Is this OK as per Agile?"
Quote 18,"They are taking longer and are less effective now we are working from home because of COVID"
Quote 19,"Standard story, I guess, ship deliverable's and then nothing for a week, and then there are ""emergency"" fixes needed overnight. If the work needs to get done, it'll get done, but how does one formally delay dates when the lag is the customers fault?"
Quote 20,"Software development team does NOT report to PM, but PM is responsible for hitting milestone dates and not exceeding budget"
Quote 21,"I am a brand new scrum master, and my team almost refuses to do the stand-up, what do I do?"
Quote 22,"The problem I am facing at the moment, is that we commit to (For arguments sake) 100 story points, but only complete 20. [...] This becomes a nightmare as trying to manage the client becomes almost impossible. [...] Now the logical thing to say here is that we are over committing each sprint or underestimating stories which is very possible."
Quote 23,"I've been working in a particular Agile/Scrum team for about 5 months now, and I am conscious of a specific concern (that's been mentioned to me in private) for a few weeks, from 2 different team members (out of 8). [...] The concern doesn't affect me directly but I recognise that it does affect those team members and it is legitimate, not just a ""gripe"""
Quote 24,"How to efficiently manage a Scrum team when one member is much less productive?"
Quote 25,"My boss missed two retrospectives because he had other meetings and I started making progress. [...] There was more engagement, and one junior team member who had been silent in previous Sprint Retrospectives talked at length about an action item she wanted added."
Quote 26,"When presented with a new project, which I can rather quickly dismiss as unfeasible (we're talking extremely unrealistic projects), I have trouble communicating why it cannot be done. [...] I argue the technical complexity and the requirements versus the time and price scope."
Quote 27,"How to influence a scrum team to do something you as a SM feel is beneficial to the team. [...] I was thinking of talking individually to each and explain why seeing their faces is important for me to do my job ie is it reasonable given the situation to ask scrum team members to turn on their cameras during ceremonies?"
Quote 28,"On one hand, software development involves a lot of non-programming activities like requirements gathering (including analysis), estimating, planning, testing, tracking work, change request management, and more. [...] On the other hand, our clients don't want to pay for these activities. When a non-programming activity shows up on their invoices, they usually get angry and complain"
Quote 29,"What to do when management prohibits test swarming by development team? [...] The point is, we had been working for weeks on moving from timeboxed mini waterfalls to actual Scrum. [...] Given that the team cannot change its structure in the short term, having developers actively participating on testing meant a great advantage for the whole team and we were actually being able to have shippable versions at the end of each sprint."
Quote 30,"Whenever I try to voice my ideas/opinions during meetings they are abandoned/ignored. [...] The team is dominated two senior people who just discuss among themselves wok which is to be done while the other two are dormant. [...] That makes the situation very demoralizing."
Quote 31,"How to wake up a team? [...] Only the PO is active - he speaks for 90% of time. [...] When I asked him not to speak first (he is willing to change this state) there was silence and it was really hard to end our meetings with any conclusions. [...] The guys are simply fine with everything"
Quote 32,"It's such a confusing prospect for me as a scrum master because since they deliver at pace, they have not vocalized any issues, stakeholders are happy there appears to be no problem but on the other hand it's not really what I would call a scrum team. [...] My question here is, if it ain't broke don't fix it or what should I do?"
Quote 33,"My team hates planning poker (and the length of planning in general), is there a more engaging and/or quicker way to plan a sprint? [...] Are there either more engaging ways to plan a sprint (something other than sitting around a table playing with cards/shouting out t-shirt sizes), or a quicker way to do it?"
Quote 34,"The agile coach wants to ""observe"" all the ceremonies of my team. He wants to do this to ""coach"" me. [...] He wants to drop into any ceremony when he has time. [...] I am against this because it erodes trust that I am trying to build with my team. [...] It also reduces psychological safety within my team and it also makes it harder to maintain leadership in my team. [...] I also don't feel it's of any benefit for my team."
Quote 35,"From an empathetic standpoint, if I were in the direct report's position, I would prefer to keep things more casual and not be in a 2-1 situation. [...] I feel like I would close down and not give my actual feedback."
Quote 36,"We have a web site that was written five years ago by people that didn't know what they were. [...] Unfortunately, every time I bring up this subject I am told two things by fellow team members: Shut up, we'll handle this piecemeal as things break. [...] If you have any questions, see point 1."
Quote 37,"I am not in a position to change situation myself; my expressed concerns are either politely ignored or ""we have heard that before""."
Quote 38,"I wasn't going to be to negative on him in my official eval, but to me it is like he is asking to be fired. [...] I've never had anyone rate themselves so negatively. [...] He never asks for help. [...] He does his best to help everyone. [...] Now it seems unavoidable to come down on him and start being more hands on. [...] How can this be handled without demoralizing the employee even more and without losing a valuable team member that everyone loves?"
Quote 39,"What does a Product Owner do if they disagree with the CEO's direction on product strategy?"
Quote 40,"Frankly speaking, the whole team is quite fed up with all these silly questions, and all of us wonder whether we are actually following Scrum values, or instead just maintaining JIRA to show PMO that we are all following Scrum and have a near-to-perfect burndown chart."
Quote 41,"How to get a dev team to use TDD and CI? [...] I'm a software development program manager who has experienced many of the benefits of test-driven development and continuous integration. [...] But some of the dev teams I work with don't follow these practices."
Quote 42,"One of my weaknesses as a PM is not being able to delegate and manage work assigned to others. [...] What are ways you can tackle this?"
Quote 43,"how do I hold a project leaders' feet to the fire without offending? [...] I have been bitten in the past for being too honest with my feelings when project leaders drop the ball (like not recording requirements changes and then having to discuss the same things multiple times or helping write extremely poor requirements in the first place)."
Quote 44,"In my software development team, we have established some guidelines to help single developers take decisions on their own. [...] Recently, some discussion arose around one of those guidelines. [...] It deals with whether one should generally opt for uniform, consistent approaches or not. [...] Or, put differently, whether the burden of proof should lie with the one wanting to do something differently or with the one trying to establish a standard. [...] my gut feelings say ""standards are usually good"", which leads me to prefer view A. [...] But as I said, others on my team disagree"
Quote 45,"As a Tech Lead within a ""Scrum"" team, I am annoying regarding some laid rules. [...] It is established that only Product Owner, Business Analyst and Scrum Master (and eventually Product Manager) take part of the user stories prioritization process (backlog prioritization) [...] I notice that their decision is often based on wrong assumptions and false hypothesis; leading to a sorting readjustment, therefore wasting anybody's time."
Quote 46,"How to approach this: A team member with Good technical skills but weak in other areas [...] I spoke with him and he says that documenting something is hard for him, and he doesn't like to do this so he postpones it to the end of the sprint and rarely does it."
Quote 47,"They tend to go off topic, instead of focusing on what I did, what I am going to do and impediments. [...]The Product Owner talks and asks them for 'updates' during or directly after the Daily Scrum [...] They often don't know what they are going to do [...] i.e. they can't answer the question during the Daily Scrum, so they say they are going to decide after the Daily Scrum what to do."
Quote 48,"We have got the situation when our FP project is running over the time without visible end date. The initial agreed scope is accomplished so we would like to release the team."
Quote 49,"How do you deal with constant interruptions coming from outside the team?"
Quote 50,"As a Scrum Master, how to speak to a developer about his delays?"
Quote 51,"Problem (In my view, many team members do not agree to this): What happens in absence of a Product owner is When we go to planning meetings, we first start give priority to the tasks as a team based on that one liner task descriptions which in some cases are explained"
Quote 52,"However, such meetings sometimes collide with the Daily Scrum. Not often enough to actually change the daily time (or place), but often enough for me, because many times people tend to forget about this and miss one or another meeting."
Quote 53,"How to manage a situation when one team member doesn't want to participate in retrospectives?"
Quote 54,"Some people are very comfortable to talk and share ideas/knowledge in order to help the team to define tasks for our stories, but some people (usually more than half of the team) simply left the meeting without even speak out once."
Quote 55,"I have one expert engineer on our team but he really is busy and very begrudgingly responds when asked things. [...] I try to keep my questions to 1 every 3 days, so I group them. [...] When I asked how to scope this, or in general where to start he just said open the code base and determine the hours for the project."
Quote 56,"when (if ever) is it appropriate for a Scrum Master to bring these views to the attention of management or do I just continue trying to get the team to evolve and deal with this on their own?"
Quote 57,"I am on the product side and have an agile team that has missed every sprint commitment through the first 4 by between 40 and 60% measured by points. [...] The team continues to say, that it is OK and that the stories were mostly done and they'll just split and move stories forward."
Quote 58,"What should a UI designer know and how to deliver this knowledge to him? [...] The problem is that she is neither into business nor into development, so her designs are quite typical: as beautiful as useless and/or difficult to implement."
Quote 59,"However, in spite of multiple follow-ups, they fail to complete the defined tasks in the given timeline."
Quote 60,"However, some less IT-savvy clients almost always insist to have face-to-face meet-ups for project review. [...] The in-house account manager will then have to go down but most of the time he/she does not possess the technical knowledge to handle some of the client's requests."
Quote 61,"They can waste hours of the day with these 20–30-minute, non-project related jam sessions. [...] Since I am PM on many of their projects, I get frustrated with the lack of focus"
Quote 62,"A team member is taking too much time at Daily Scrums. What is the best way to resolve this issue as a Scrum Master?"
Quote 63,"Developers are required to enter their work hours in Project Server by time-sheets. However, they are not happy to complete their time sheets."
Quote 64,"Should the Product Owner dictate what info the UI needs to display? [...] Very often, the PO suggests, in detail, how a user interface of our software should be, such as what type of information is to be displayed in the user interface (e.g. ""I'd like to see a date in list"" or ""I'd like to see so and so in this view""). [...] Often the PO has asked the customer, or knows already, but the product UI ends up being quite cluttered and complex."
Quote 65,"I'm experiencing persisting pain in the back, and it's medically proved that it's present and that it will never improve but only degrade. [...] Yet when I'm looking for a chair, my team (both the PM and my colleagues) insists I keep standing up, and the social pressure makes it hard for me to sit."
Quote 66,"How to make a retrospective focus on certain issues which I have already identified [...] My team has certain issues which I have already determined, namely: They are not pairing enough [...] Their cycle time is very high; They break timeboxed tasks; The team is not splitting QA work equally, they assume the QA guy needs to do it all"
Quote 67,"How do you handle people who obliviously try to add and change scope at the worst possible time in the project life cycle?"
Quote 68,"Other change requests are what clients claim they ""just assumed would be part of the system"" even if not explicitly spelled out in the spec. [...] we need to come up with a better way to both internally identify whether work being requested is ""out of spec"", and be able to communicate this to a client in such a manner that they can understand why what they are asking for is ""extra"" work."
Quote 69,"How do I convince my fellow devs to WANT to add comments to source code commits? [...] Even if I can't convince my fellow devs, how can I convince management that it's the right thing to do for the business?"
Quote 70,"How do I convince my boss to use REST over SOAP?"
Quote 71,"Should the developer shoot down the idea because it adds unimaginable complexity and security vulnerabilities, or should he do what's asked?"
Quote 72,"Basically, I hate the code they write. It's badly formatted/organized, and sometimes is radically different from the rest of the project. [...] I feel very upset when they add their spaghetti to my piece of art and it affects my mood at work and my productivity."
Quote 73,"What should we do to make Morning Standup meeting better and effective [...] This meeting may sound good and process oriented, but sometimes if there is a show down then it ruins the morning mood or if there is a difference in opinion then again it is not a good thing to start with."
Quote 74,"Who should be the participants in retrospective? [...] Will it be only the team members OR should the Product manager, all the stakeholders and dependent teams also participate. [...] I am of the opinion that only the team should meet to discuss in retrospectives, else all team members will not open up. [...] But one of the managers insist that all the stake holders should also be included."
Quote 75,"So how do you educate other programmers enough that they stop fixating on trivialities and can meaningfully contribute to the design?"
Quote 76,"I seem to be repeatedly stuck in a situation where release dates are set not based on anything technical, but because someone in Sales has committed to a customer by then"
Quote 77,"I am starting to regret not taking any business classes in college because I don't understand the first thing about running a business so I don't always understand what people are wanting, the best I can do is ""think through it""."
Quote 78,"I feel like once I am stuck on a problem, I find myself closing up, unable to voice it, as if asking for help is a sign of incompetency."
Quote 79,"The Product Owner complains about having too much outside noise (mainly stakeholders feature requests), and he can't focus on the sprint realization. [...] We agree that we should try to educate people on our process implications (sprint durations and product backlog), to reduce the noise."
Quote 80,"So, what kind of argument should I make to my boss? [...] Or is he right, and there could be a danger of losing all our work from some weird bug?"
Quote 81,"What about a member of the team working above and beyond the expectations put forth during planning and execution of sprints? [...] Other developers complain about not being involved in design decisions related to these stories, since the work was done out of band."
Quote 82,"There are several rules I must keep asking programmers to follow very often. [...] They write code and, if it works, job is just done, for them."
Quote 83,"Problem is, I end up spending a lot of my day just checking what they did, and fixing bugs and cases they didn't think of. [...] They're not thinkers, they do exactly what I tell them, and nothing more or less. Most of the time, I feel like it would just be easier to do it myself. [...] I am having difficulties communicating with the vendors exactly what is expected of them."
Quote 84,"I have a strange situation at work, where a colleague of mine often asks me and other co-workers for working code. [...] I would like to help him, but this constant request of trivial snippets interrupts my thoughts and sometimes makes it hard to concentrate."
Quote 85,"My fellow programmer and I both believe that this is a strange and uncommon approach to web application development. Both of us have been in this business for over five years and neither of us have seen this approach. [...] My question is this, how would we approach our co-worker and voice our concerns and what should we do if he does not want to accept the critic?"
Quote 86,"But still, they are sometimes reluctant to accept my suggestion, partly because they have invested so much in their own algorithm, or partly because of the fear that using a new method would entail more learning time and make them appear to the management as if they are going nowhere."
Quote 87,"How to handle project manager getting upset when tasks spend multiple days in development?"
Quote 88,"As senior dev, I quickly realized that the functional and technical spec. contained some huge gaps and uncertainties. [...] As first and foremost a developer, I found this a very stressful and difficult situation. [...] The ""business"" accused IT of being incompetent and being the messenger, I received a few ""bullets"". [...] The customer threatened to cancel the account."
Quote 89,"What is the best way to introduce standards and process improvements so that the degree of push back and resistance from developers is minimized?"
Quote 90,"I've only been on this team for a week, but I see so many issues with their codebase that I imagine I'll be spending more time fighting with what's already written to do things in ""their way"" than I would if I were working on a project that, for example, followed more widely accepted coding standards, architecture patterns, and best practices. [...] How do I (tactfully) tell my project manager or lead developer that the project's codebase needs serious work?"
Quote 91,"Now my team members are annoyed and bored when we do Scrum events and one person in particular is very verbal about this. [...] During Retrospective I can just feel that they want to say ""Stop doing Scrum"". One person does, but the others are silent and I have to deal with this every time."
Quote 92,"Recently we've had people start here who seem to have an attitude toward development/programming which is different from my own and hard for me to reconcile; they extract just enough information to get the task done but not really learn from it. I find myself going over and over the same issues with them. [...] I understand that part of this could be a personality thing, but I feel it's my job to do my best and push them out of the nest while they're under my wing, so to speak."
Quote 93,"If the reviewer changes your code and goes through it with you line-by-line, what do you do if you disagree? Sometimes you made choice X and the reviewer changes it to Y, and you had Y in your mind but decided not to do it because of the disadvantages, but the reviewer asserts that those disadvantages are not important. Should you verbalize your disagreement, or just not and listen to them?"
Quote 94,"I've been here for a year and we have a very persistent problem: almost everybody can't finish planned work in almost every sprint. We have huge carryovers in every sprint. [...] I tend to vote for larger estimates, but my teammates almost never learn from their past mistakes and persistently vote low in these estimations."
Quote 95,"In a software team, how do you cut through these long discussions without inhibiting innovation, so that a decision can be made and you can get on to solving the real business problems."
Quote 96,"Our initial thought was to solicit product suggestions and feedback on mock-ups from certain members of our current clientele who have made multiple feature suggestions in the past. This seemed good in theory,"
Quote 97,"Recently I've come to understand that a serious problem at my workplace is the lack of communication between developers. [...] Whenever I create some component or a naming convention or whatever... there's no way I can make it known to all the people who might need to know this. [...] At most I tell it in person to the fellow who asked me for it, but that's about it."
Quote 98,"When I look at our code, I see some code smells and bad engineering practices [...] The latter two seem to be a real problem. [...] I want to convince my teammates to use smaller classes and methods. [...] But should I do that? If yes, then how?"
Quote 99,"Should I not care if the code is littered with redundant identifiers and not descriptive names, and continue to use my own way and push for that to become the standard? [...] I've brought up standardizing on the .Net naming conventions in the past and it's just ignored"
Quote 100,"But I haven't found the company to give any sort of encouragement / appreciation. [...] My seniors who were not involved in the project were given praise, leave, bonuses, etc. [...] Also I was rejected permission to attend an important family function - that makes me ask ""what's the credit I have now""?"
Quote 101,"However - we're getting flak from our support staff and marketing department that they don't feel that they're getting enough lead time on new features and notifications on bug fixes that could change behavior."
Quote 102,"The issue we have is around whether everything in this list should be recorded as a 'defect' - some of the issues they found would be better described as refinements, or even 'nice-to-haves', and some we think are not defects at all. [...] We don't want to come across as being difficult, or taking things too personally here, and we are happy to make all of the changes identified, however we are a bit concerned especially as there is an uneven power balance at play in our relationship. [...] They client's QA lead says that it is standard for them to label every issue they identify as a defect, however, we are a bit uncomfortable about this. Whilst the relationship is good, we don't see a huge problem with this, but we are concerned that, if the relationship suffers in the future, these lists of 'defects' could prove costly for us."
Quote 103,"How to explain why design choices are good?"
Quote 104,"This is where the problems appear. [...] Some say that it is a bug others say it is a task or an extra feature. [...] here start the discussions [...] is this a bug or an extra feature / task?"
Quote 105,"Our Scrum master wants us to document our feedback for the iteration before our Retrospective. [...] Her argument is that she wants us to have time to document our feedback. [...] Another guy on the thinks that we should be documenting our feedback during the meeting or right before the meeting."
Quote 106,"For the first time, someone reviews my code and he says it is a mess. [...] I feel so sad and hurt. I really love programming and making them say something like that really hurts me."
Quote 107,"How to tell whether your programmers are under-performing? [...] I am a team lead with 5+ developers. [...] I've a straight talk with him regarding my perception on his performance. [...] He was indignant when I suggested that I had the feeling that he wasn't performing at his best level. [...] He felt that this was a completely unfair feeling."
Quote 108,"Our project head is a genius software architect, a gentle and considerate person in general, a geek by nature and delicate by voice. [...] But, at times, we (my teammates and I) differ in opinions -- especially of software architecture issues, system design issues, UI issues, etc., with our leader. [...] When and how (if ever) should we express the difference in opinions?"
Quote 109,"How much should Developers interact with Clients? [...] My manager, and old-school mainframe guy, contends that developers should never ever have ANY client contact. [...] His boss, the owner of the company, told him this morning that every single person in the company needs to think of themselves as an extension of the sales department, and needs to be listening all the time for upsell opportunities."
Quote 110,"To do this I have discussion with related team players and calculate a deadline estimation. [...] Sometimes, I got a scared voice from CTO saying that the estimated deadline is too much. [...] Then I have to shorten the deadline. [...] With a shorter deadline, programmers have to work with extra pressure."
Quote 111,"However, sometimes he reviews my code (he's second in command to our team leader, so that's expected) without a heads up. [...] So sometimes he reviews my changes before they complete the end goal and makes changes right away [...] and has even broken my work once."
Quote 112,"I am interested in knowing how to deal with a current software development process that has not been changed for years and will eventually lead to product and team failure."
Quote 113,"However, I have good reason to believe my explanations are not effective. I routinely have hour long discussions trying to explain my code, and on many occasions the conversations have ended with my coworker saying they still don't understand, but they have somewhere else to be (lunch, or home, or a meeting, etc.)."
Quote 114,"For the last 3 sprints or so, I've observed our Product Owner suddenly shoving new stories - stories not previously in the Product Backlog -- at the top of the Product Backlog. [...] My question is - how much can the Product Owner really shake up the Product Backlog? [...] Is it really fair game to ignore what's already in the backlog and keep on shoving new stories at the top?"
Quote 115,"So now I want to know what to do. I've spent a lot of my time on this project, so I don't want to just get up and leave, but I'm finding it hard to work with this new developer. [...] On the flip side, he is now the #1 committer on the project, with even more commits than the lead developer. [...] I'm not really sure what to do about this. [...] Has anybody else experienced this problem? If so, what did you do?"
Quote 116,"I am getting push back from one of the developers when I reject his stories. [...] He says it's unfair since I don't specify the edge cases and how the program should respond in the acceptance criteria, as he tends to code for only what I describe in the story."
